dim_1,dim_2,gene,0,1
193.0,1605.0,CD11c,207.67662753468517,1607.0917822838846
193.0,1871.0,CD14,204.97316495659038,1864.382004735596
194.0,404.0,CD14,213.4509394572025,384.60960334029227
194.0,1616.0,CD11c,207.67662753468517,1607.0917822838846
194.0,1628.0,CD11c,225.3859784283513,1637.3520801232667
195.0,1612.0,CD11c,207.67662753468517,1607.0917822838846
195.0,1919.0,CD14,180.09050772626932,1911.4613686534217
196.0,1385.0,CD14,222.21681415929203,1406.929203539823
196.0,1561.0,CD11c,199.59302325581396,1548.8081395348838
198.0,533.0,CD14,177.66949152542372,550.0063559322034
198.0,1218.0,CD11c,188.95645161290324,1207.274193548387
199.0,545.0,CD14,208.2150837988827,562.5111731843575
199.0,1608.0,CD11c,207.67662753468517,1607.0917822838846
199.0,1613.0,CD11c,207.67662753468517,1607.0917822838846
199.0,1912.0,CD11c,180.09050772626932,1911.4613686534217
200.0,1854.0,CD14,204.97316495659038,1864.382004735596
201.0,1625.0,CD11c,207.67662753468517,1607.0917822838846
202.0,1923.0,CD11c,180.09050772626932,1911.4613686534217
203.0,536.0,CD14,227.51129032258063,555.1483870967742
203.0,1473.0,CD11c,221.50138504155126,1455.4418282548477
203.0,1478.0,CD11c,221.50138504155126,1455.4418282548477
203.0,1851.0,CD14,204.97316495659038,1864.382004735596
203.0,1912.0,CD11c,180.09050772626932,1911.4613686534217
204.0,1625.0,CD11c,225.3859784283513,1637.3520801232667
206.0,385.0,CD14,213.4509394572025,384.60960334029227
206.0,528.0,CD14,223.67792792792793,504.97747747747746
206.0,1637.0,CD14,225.3859784283513,1637.3520801232667
206.0,1931.0,CD14,228.38987688098496,1935.749658002736
207.0,483.0,CD14,223.67792792792793,504.97747747747746
207.0,1443.0,CD11c,221.50138504155126,1455.4418282548477
207.0,1625.0,CD11c,225.3859784283513,1637.3520801232667
208.0,379.0,CD14,213.4509394572025,384.60960334029227
208.0,758.0,CD11c,212.6605504587156,758.1697247706422
208.0,1630.0,CD11c,225.3859784283513,1637.3520801232667
208.0,1922.0,CD11c,228.38987688098496,1935.749658002736
209.0,1442.0,CD11c,221.50138504155126,1455.4418282548477
209.0,1589.0,CD11c,207.67662753468517,1607.0917822838846
